회사규모,직무카테고리,count,ratio
대기업,AI_ML,101,9.6
대기업,DevOps,168,15.9
대기업,PM_기획,32,3.0
대기업,QA,12,1.1
대기업,기타,33,3.1
대기업,데이터,97,9.2
대기업,모바일,42,4.0
대기업,백엔드,467,44.2
대기업,보안,63,6.0
대기업,풀스택,3,0.3
대기업,프론트엔드,39,3.7
스타트업/중소,AI_ML,973,11.3
스타트업/중소,DevOps,612,7.1
스타트업/중소,PM_기획,87,1.0
스타트업/중소,QA,93,1.1
스타트업/중소,기타,505,5.8
스타트업/중소,데이터,509,5.9
스타트업/중소,모바일,322,3.7
스타트업/중소,백엔드,4411,51.1
스타트업/중소,보안,173,2.0
스타트업/중소,풀스택,182,2.1
스타트업/중소,프론트엔드,772,8.9
