month,백엔드,프론트엔드,AI_ML,DevOps,데이터,모바일
2025-07,443,65,68,64,39,25
2025-08,563,91,97,76,59,37
2025-09,474,62,79,74,52,20
2025-10,581,72,92,114,62,45
2025-11,515,63,93,92,51,29
2025-12,493,74,98,71,54,29
2026-01,537,64,74,72,60,28
2026-02,418,45,74,46,34,20
2026-03,429,63,109,67,49,31
