클러스터,공고수,주요직무,주요기술,주요회사규모
0,1780,백엔드,"Java, AWS, Spring, Git, MySQL",스타트업/중소
1,1179,백엔드,"React, TypeScript, Java, Git, JavaScript",스타트업/중소
2,868,DevOps,"AWS, CI/CD, Kubernetes, Linux, Python",스타트업/중소
3,1026,백엔드,"AWS, Java, React, TypeScript, Git",스타트업/중소
4,906,백엔드,"Python, LLM, PyTorch, AWS, RAG",스타트업/중소
5,492,백엔드,"Git, Kotlin, React, Swift, Java",스타트업/중소
6,955,백엔드,"Python, Git, Linux, Java, C#",스타트업/중소
7,597,데이터,"Python, AWS, Airflow, Java, GCP",스타트업/중소
8,508,DevOps,"AWS, Python, GCP, Azure, Go",스타트업/중소
